id,label,cap-shape,cap-surface,bruises,odor,gill-attachment,gill-spacing,gill-size,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,veil-type,ring-number,ring-type,spore-print-color,population,habitat,cap-color-rate,gill-color-rate,veil-color-rate,stalk-color-above-ring-rate,stalk-color-below-ring-rate
1,p,x,s,t,p,f,c,n,e,e,s,s,p,o,p,k,s,u,1.0,3.0,1.0,1.0,1.0
2,e,x,s,t,a,f,c,b,e,c,s,s,p,o,p,n,n,g,2.0,3.0,1.0,1.0,1.0
3,e,b,s,t,l,f,c,b,e,c,s,s,p,o,p,n,n,m,3.0,1.0,1.0,1.0,1.0
4,p,x,y,t,p,f,c,n,e,e,s,s,p,o,p,k,s,u,3.0,1.0,1.0,1.0,1.0
5,e,x,s,f,n,f,w,b,t,e,s,s,p,o,e,n,a,g,4.0,3.0,1.0,1.0,1.0
6,e,x,y,t,a,f,c,b,e,c,s,s,p,o,p,k,n,g,2.0,1.0,1.0,1.0,1.0
7,e,b,s,t,a,f,c,b,e,c,s,s,p,o,p,k,n,m,3.0,2.0,1.0,1.0,1.0
8,e,b,y,t,l,f,c,b,e,c,s,s,p,o,p,n,s,m,3.0,1.0,1.0,1.0,1.0
9,p,x,y,t,p,f,c,n,e,e,s,s,p,o,p,k,v,g,3.0,4.0,1.0,1.0,1.0
10,e,b,s,t,a,f,c,b,e,c,s,s,p,o,p,k,s,m,2.0,2.0,1.0,1.0,1.0
11,e,x,y,t,l,f,c,b,e,c,s,s,p,o,p,n,n,g,2.0,2.0,1.0,1.0,1.0
12,e,x,y,t,a,f,c,b,e,c,s,s,p,o,p,k,s,m,2.0,1.0,1.0,1.0,1.0
13,e,b,s,t,a,f,c,b,e,c,s,s,p,o,p,n,s,g,2.0,5.0,1.0,1.0,1.0
14,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,4.0,6.0,1.0,2.0,5.0
15,e,x,f,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,5.0,5.0,1.0,1.0,4.0
16,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,1.0,5.0,1.0,2.0,4.0
17,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,4.0,1.0,1.0,1.0
18,e,f,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,5.0,1.0,1.0,5.0
19,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4.0,4.0,1.0,1.0,1.0
20,e,f,f,t,n,f,c,b,t,b,s,s,p,o,p,n,v,d,1.0,1.0,1.0,2.0,1.0
21,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,4.0,5.0,1.0,3.0,5.0
22,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,v,d,5.0,5.0,1.0,2.0,5.0
23,e,x,y,t,n,f,c,b,t,b,s,s,p,o,p,k,y,d,1.0,4.0,1.0,1.0,4.0
